City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Atuona,PF,78.78,-9.8,-139.0333,Villa Enata
2,Popondetta,PG,87.06,-8.7537,148.2534,Timos Transit House
3,Saint-Philippe,RE,79.21,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Saint-Pierre,RE,79.29,-21.3393,55.4781,Lindsey Hôtel
22,Pasni,PK,82.54,25.2631,63.471,Kashmiri Hotal
26,Cayenne,GF,80.1,4.9333,-52.3333,Hôtel Le Dronmi
27,Cabo San Lucas,MX,76.3,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Rikitea,PF,78.69,-23.1203,-134.9692,People ThankYou
37,Tuburan,PH,86.09,6.6439,122.2736,GT Site
38,Hithadhoo,MV,83.64,-0.6,73.0833,Scoop Guest House
42,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
44,Mahebourg,MU,80.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Mildura,AU,88.07,-34.2,142.15,Mercure Hotel Mildura
55,Isangel,VU,82.65,-19.55,169.2667,Tanna Lodge
60,Hobart,AU,80.26,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
68,Eyl,SO,83.93,7.9803,49.8164,Amiin Hotel
72,New Norfolk,AU,79.92,-42.7826,147.0587,The Shingles Riverside Cottages
73,Butaritari,KI,82.29,3.0707,172.7902,Isles Sunset Lodge
76,Carnarvon,AU,78.87,-24.8667,113.6333,Hospitality Carnarvon
80,Puerto Ayora,EC,75.04,-0.7393,-90.3518,Finch Bay Galapagos Hotel
84,Vaini,TO,84.36,-21.2,-175.2,Keleti Beach Resort
89,San Patricio,US,75.83,28.017,-97.5169,"Motel 6 Sinton, TX"
90,Vanimo,PG,85.21,-2.6741,141.3028,Vahmoneh Lodge Vanimo
91,Marawi,PH,80.76,7.9986,124.2928,Derogongan Residence
95,Itarema,BR,76.37,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
98,Payakumbuh,ID,81.7,-0.2202,100.6308,Dalimo Homestay
103,Sorong,ID,83.73,-0.8833,131.25,Waigo Splash Hotel
107,Mogadishu,SO,84.07,2.0371,45.3438,Hotel Juba
112,Kapaa,US,75.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
113,Cockburn Town,TC,77.45,21.4612,-71.1419,Osprey Beach Hotel
120,Bengkulu,ID,85.68,-3.8004,102.2655,Grage Hotel Bengkulu
124,Buchanan,LR,76.86,5.8808,-10.0467,Kamaneahn Hotel Inc
133,Bambanglipuro,ID,86.94,-7.95,110.2833,Puri Brata
134,Sakhon Nakhon,TH,84.15,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
142,Namatanai,PG,84.0,-3.6667,152.4333,Seagulls Inn Namatani
143,Amahai,ID,85.15,-3.3333,128.9167,HOTEL ISABELA
146,San Cristobal,VE,75.38,7.7669,-72.225,Pirineos
147,Kavieng,PG,84.36,-2.5744,150.7967,Nusa Island Retreat
148,Georgetown,MY,89.55,5.4112,100.3354,Cititel Penang
157,Gizo,SB,81.95,-8.103,156.8419,Imagination Island
160,Batticaloa,LK,85.39,7.7102,81.6924,Grand Star Guest House
162,Tual,ID,83.95,-5.6667,132.75,Grand Vilia Hotel
175,Buala,SB,82.26,-8.145,159.5921,Maringe Lagoon Lodge
177,Cabedelo,BR,77.67,-6.9811,-34.8339,Hotel Pigalle
179,Wukari,NG,80.29,7.85,9.7833,Elimtop
181,Am Timan,TD,86.88,11.0297,20.2827,Palais du chef Canton Salamt
182,Baffa,PK,84.27,34.4378,73.2194,Kisan veternary store Baffa
188,Curup,ID,83.79,-3.4667,102.5333,Ayi The Costel
193,Los Algarrobos,PA,76.19,8.5,-82.4333,Waterfall Hostel
195,Tura,IN,85.06,25.5198,90.2201,Hotel RIKMAN Continental
202,Alofi,NU,84.09,-19.0595,-169.9187,Taloa Heights
210,Samarai,PG,84.04,-10.6167,150.6667,Nuli Sapi
217,Codrington,AU,75.02,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
220,Zinder,NE,78.8,13.8072,8.9881,Hotel de Ville
225,Shushtar,IR,75.13,32.0455,48.8567,چاپ یاس کبود
229,Moranbah,AU,84.04,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
238,Auki,SB,82.53,-8.7676,160.7034,Auki Motel
249,Souillac,MU,77.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
255,Flinders,AU,77.18,-34.5833,150.8552,Shellharbour Resort & Conference Centre
256,Asyut,EG,82.56,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
261,Farafangana,MG,76.69,-22.8167,47.8333,Miarina
262,Vao,NC,77.65,-22.6667,167.4833,Hotel Kou-Bugny
264,Dezful,IR,75.97,32.3811,48.4058,مهمانپذیر خوزستان
265,Wanning,CN,83.17,18.8003,110.3967,Paradise Hotel
267,Lingao,CN,81.07,19.9103,109.6859,Lingao Ditai Inn
270,Mitsamiouli,KM,79.09,-11.3847,43.2844,Foyer ADM
274,Matara,LK,86.67,5.9485,80.5353,Amaloh Boutique Resort
275,Manokwari,ID,83.97,-0.8667,134.0833,Swiss Belhotel Manokwari
