City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dikson,73.5069,80.5464,8.62,89,100,15.21,RU,2022-04-17 04:38:03
1,Atuona,-9.8,-139.0333,78.78,80,73,16.6,PF,2022-04-17 04:38:04
2,Popondetta,-8.7537,148.2534,87.06,65,99,5.1,PG,2022-04-17 04:38:04
3,Saint-Philippe,-21.3585,55.7679,79.21,81,25,11.01,RE,2022-04-17 04:38:04
4,Talnakh,69.4865,88.3972,15.15,93,96,17.22,RU,2022-04-17 04:38:04
5,Cape Town,-33.9258,18.4232,59.11,74,1,5.99,ZA,2022-04-17 04:35:16
6,Xichang,27.8964,102.2634,64.33,60,88,1.88,CN,2022-04-17 04:38:05
7,Tuktoyaktuk,69.4541,-133.0374,-0.4,71,40,6.91,CA,2022-04-17 04:38:05
8,Punta Arenas,-53.15,-70.9167,44.71,93,75,16.11,CL,2022-04-17 04:38:05
9,Yaan,7.3833,8.5667,77.94,82,87,3.18,NG,2022-04-17 04:38:06
10,Jumla,29.2747,82.1838,67.01,20,0,4.61,NP,2022-04-17 04:38:06
11,Ushuaia,-54.8,-68.3,38.86,81,0,6.91,AR,2022-04-17 04:34:03
12,Sao Filipe,14.8961,-24.4956,69.93,81,39,6.13,CV,2022-04-17 04:38:06
13,Churapcha,62.0025,132.4325,28.78,81,100,6.78,RU,2022-04-17 04:38:07
14,Te Anau,-45.4167,167.7167,55.51,63,74,0.36,NZ,2022-04-17 04:38:07
15,San Quintin,30.4833,-115.95,58.91,87,0,16.22,MX,2022-04-17 04:38:07
16,Fairbanks,64.8378,-147.7164,30.54,38,0,14.97,US,2022-04-17 04:36:15
17,Jamestown,42.097,-79.2353,35.19,71,100,8.05,US,2022-04-17 04:38:08
18,Lebu,-37.6167,-73.65,52.47,92,38,7.72,CL,2022-04-17 04:38:08
19,Hasaki,35.7333,140.8333,61.2,55,98,9.31,JP,2022-04-17 04:38:08
